标题,区县,所在街道,房型,面积,朝向,月租
整租·淞南二村 1室1厅 南,宝山,淞南,1室1厅1卫,41㎡,南,3100元/月
整租·梅林小区 2室1厅 南,杨浦,中原,2室1厅1卫,57㎡,南,5000元/月
整租·万科城市花园 1室1厅 跃层 南,闵行,七宝,1室1厅1卫,42㎡,南,4700元/月
整租·上海青年城 2室1厅 南,松江,九亭,2室1厅1卫,50㎡,南,3800元/月
整租·富锦苑 2室1厅 南,宝山,月浦,2室1厅1卫,92㎡,南,4000元/月
整租·临沂大楼 2室1厅 南,浦东,南码头,2室1厅1卫,78㎡,南,7200元/月
整租·美岸栖庭(公寓) 1室1厅 南,宝山,高境,1室1厅1卫,47㎡,南,4700元/月
整租·长白三村 1室0厅 南,杨浦,黄兴公园,1室0厅1卫,34㎡,南,3900元/月
整租·广中西路818弄 2室1厅 南,闸北,大宁,2室1厅1卫,69㎡,南,5000元/月
整租·瑞和苑 1室1厅 南,浦东,周浦,1室1厅1卫,54㎡,南,2800元/月
整租·瑞和苑 2室2厅 南,浦东,周浦,2室2厅1卫,75㎡,南,4000元/月
整租·瑞和苑 1室1厅 南,浦东,周浦,1室1厅1卫,54㎡,南,2800元/月
整租·赤峰小区 1室1厅 南,虹口,曲阳,1室1厅1卫,40㎡,南,4500元/月
整租·星海家园 2室2厅 南,浦东,曹路,2室2厅1卫,83㎡,南,4200元/月
整租·霍山大楼 2室1厅 东,虹口,北外滩,2室1厅1卫,95㎡,东,7800元/月
整租·锦秋花园(别墅) 4室2厅 跃层 南/北,宝山,上大,4室2厅3卫,134㎡,南 北,11000元/月
整租·春天花园 1室2厅 南,长宁,中山公园,1室2厅1卫,60㎡,南,6500元/月
整租·浦江名邸 3室2厅 南,虹口,临平路,3室2厅2卫,176㎡,南,20000元/月
整租·中福浦江汇 1室1厅 南,黄浦,蓬莱公园,1室1厅1卫,49㎡,南,8500元/月
整租·巨龙台湾城 1室1厅 南,奉贤,西渡,1室1厅1卫,33㎡,南,2200元/月
整租·潼港二村 1室1厅 南,浦东,外高桥,1室1厅1卫,44㎡,南,2800元/月
整租·隆昌路641弄 2室1厅 南,杨浦,周家嘴路,2室1厅1卫,54㎡,南,4500元/月
整租·万科金色城市 3室1厅 南,浦东,御桥,3室1厅1卫,90㎡,南,7200元/月
整租·汪家井小区 2室1厅 南/北,普陀,甘泉宜川,2室1厅1卫,51㎡,南 北,5000元/月
整租·德怡苑 2室1厅 南,普陀,长寿路,2室1厅1卫,50㎡,南,6000元/月
整租·龙呈家园 2室1厅 南,徐汇,龙华,2室1厅1卫,70㎡,南,6000元/月
整租·青春驿站 1室1厅 南,松江,九亭,1室1厅1卫,63㎡,南,4200元/月
